run_id,experiment_name,model,dataset,task,metric_name,seed,best_epoch,val_metric,test_metric,train_time_seconds,num_parameters,device,git_commit,config_hash,architecture_config_hash,status
2026-05-13_13-45-50__gcn__toy-node__seed-0__ae2cedc8,manual,gcn,toy-node,node_classification,accuracy,0,2,0.699999988079071,0.5,8.151473484933376,899,cpu,,ae2cedc8,6b8b2118,completed
2026-05-22_13-06-48__mlp__toy-node__seed-0__4ee21bdf,manual,mlp,toy-node,node_classification,accuracy,0,3,0.699999988079071,0.6000000238418579,0.6186320690321736,5187,cuda,46f3954891a4714fd29028c43b70d24bddd37580,4ee21bdf,a9dc5307,completed
2026-05-22_13-06-57__gcn__toy-node__seed-0__6c1d4671,manual,gcn,toy-node,node_classification,accuracy,0,2,0.5,0.30000001192092896,0.6882422489579767,5187,cuda,46f3954891a4714fd29028c43b70d24bddd37580,6c1d4671,34a3d236,completed
2026-05-22_13-07-06__gat__toy-node__seed-0__73cbf656,manual,gat,toy-node,node_classification,accuracy,0,3,0.5,0.20000000298023224,0.8068997180089355,19075,cuda,46f3954891a4714fd29028c43b70d24bddd37580,73cbf656,a0e12ce8,completed
2026-05-22_13-07-14__gin__toy-node__seed-0__b757994f,manual,gin,toy-node,node_classification,accuracy,0,1,0.4000000059604645,0.30000001192092896,1.0002247839584015,21958,cuda,46f3954891a4714fd29028c43b70d24bddd37580,b757994f,01aa4fd6,completed
2026-05-22_13-09-03__mlp__cora__seed-0__f3f0426e,manual,mlp,cora,node_classification,accuracy,0,176,0.398000031709671,0.3790000081062317,2.6330419029691257,96647,cuda,46f3954891a4714fd29028c43b70d24bddd37580,f3f0426e,4b4c65ea,completed
2026-05-22_13-09-15__mlp__cora__seed-1__174c4e34,manual,mlp,cora,node_classification,accuracy,1,109,0.3540000021457672,0.35600000619888306,2.133997976023238,96647,cuda,46f3954891a4714fd29028c43b70d24bddd37580,174c4e34,4b4c65ea,completed
2026-05-22_13-09-27__mlp__cora__seed-2__49ed390c,manual,mlp,cora,node_classification,accuracy,2,92,0.38600000739097595,0.3700000047683716,2.1927804820006713,96647,cuda,46f3954891a4714fd29028c43b70d24bddd37580,49ed390c,4b4c65ea,completed
2026-05-22_13-09-38__mlp__pubmed__seed-0__27a75107,manual,mlp,pubmed,node_classification,accuracy,0,101,0.5879999995231628,0.6020000576972961,2.1042748439940624,36675,cuda,46f3954891a4714fd29028c43b70d24bddd37580,27a75107,eb877adc,completed
2026-05-22_13-09-48__mlp__pubmed__seed-1__63e5c8a1,manual,mlp,pubmed,node_classification,accuracy,1,4,0.4960000216960907,0.45600003004074097,1.1481809710385278,36675,cuda,46f3954891a4714fd29028c43b70d24bddd37580,63e5c8a1,eb877adc,completed
2026-05-22_13-09-58__mlp__pubmed__seed-2__3d3ac287,manual,mlp,pubmed,node_classification,accuracy,2,62,0.628000020980835,0.6500000357627869,1.717456526006572,36675,cuda,46f3954891a4714fd29028c43b70d24bddd37580,3d3ac287,eb877adc,completed
2026-05-22_13-10-08__gcn__cora__seed-0__fa98f34f,manual,gcn,cora,node_classification,accuracy,0,85,0.6760000586509705,0.675000011920929,2.41057148197433,96647,cuda,46f3954891a4714fd29028c43b70d24bddd37580,fa98f34f,77078861,completed
2026-05-22_13-10-19__gcn__cora__seed-1__4917c82f,manual,gcn,cora,node_classification,accuracy,1,130,0.6220000386238098,0.64000004529953,3.394584160996601,96647,cuda,46f3954891a4714fd29028c43b70d24bddd37580,4917c82f,77078861,completed
2026-05-22_13-10-32__gcn__cora__seed-2__058ce47e,manual,gcn,cora,node_classification,accuracy,2,91,0.6160000562667847,0.6370000243186951,2.804742549022194,96647,cuda,46f3954891a4714fd29028c43b70d24bddd37580,058ce47e,77078861,completed
2026-05-22_13-10-43__gcn__pubmed__seed-0__0e082de7,manual,gcn,pubmed,node_classification,accuracy,0,86,0.734000027179718,0.7430000305175781,2.518147115013562,36675,cuda,46f3954891a4714fd29028c43b70d24bddd37580,0e082de7,f832119b,completed
2026-05-22_13-10-55__gcn__pubmed__seed-1__316d31f0,manual,gcn,pubmed,node_classification,accuracy,1,79,0.718000054359436,0.7230000495910645,2.705173496971838,36675,cuda,46f3954891a4714fd29028c43b70d24bddd37580,316d31f0,f832119b,completed
2026-05-22_13-11-06__gcn__pubmed__seed-2__1b7ccf67,manual,gcn,pubmed,node_classification,accuracy,2,2,0.5,0.5190000534057617,1.4581187519943342,36675,cuda,46f3954891a4714fd29028c43b70d24bddd37580,1b7ccf67,f832119b,completed
2026-05-22_13-11-16__gat__cora__seed-0__bfea7070,manual,gat,cora,node_classification,accuracy,0,46,0.7240000367164612,0.734000027179718,2.2787658279994503,201991,cuda,46f3954891a4714fd29028c43b70d24bddd37580,bfea7070,9b20a8a2,completed
2026-05-22_13-11-28__gat__cora__seed-1__0ec36cc0,manual,gat,cora,node_classification,accuracy,1,52,0.7260000109672546,0.7300000190734863,2.635227421007585,201991,cuda,46f3954891a4714fd29028c43b70d24bddd37580,0ec36cc0,9b20a8a2,completed
2026-05-22_13-11-39__gat__cora__seed-2__06e7e4cd,manual,gat,cora,node_classification,accuracy,2,65,0.7440000176429749,0.7360000610351562,2.41126451396849,201991,cuda,46f3954891a4714fd29028c43b70d24bddd37580,06e7e4cd,9b20a8a2,completed
2026-05-22_13-11-49__gat__pubmed__seed-0__ea1527d4,manual,gat,pubmed,node_classification,accuracy,0,116,0.7660000324249268,0.7560000419616699,3.0971411740174517,82051,cuda,46f3954891a4714fd29028c43b70d24bddd37580,ea1527d4,b0d3068f,completed
2026-05-22_13-12-02__gat__pubmed__seed-1__909c3c53,manual,gat,pubmed,node_classification,accuracy,1,40,0.7420000433921814,0.7390000224113464,2.4065097720013,82051,cuda,46f3954891a4714fd29028c43b70d24bddd37580,909c3c53,b0d3068f,completed
2026-05-22_13-12-13__gat__pubmed__seed-2__cfc07494,manual,gat,pubmed,node_classification,accuracy,2,51,0.7740000486373901,0.7690000534057617,2.8306668730219826,82051,cuda,46f3954891a4714fd29028c43b70d24bddd37580,cfc07494,b0d3068f,completed
2026-05-22_13-12-25__gin__cora__seed-0__41818ab6,manual,gin,cora,node_classification,accuracy,0,40,0.6680000424385071,0.6580000519752502,1.6131190870073624,113418,cuda,46f3954891a4714fd29028c43b70d24bddd37580,41818ab6,6be175b0,completed
2026-05-22_13-12-35__gin__cora__seed-1__72dd1262,manual,gin,cora,node_classification,accuracy,1,119,0.6480000019073486,0.6620000600814819,3.19235165201826,113418,cuda,46f3954891a4714fd29028c43b70d24bddd37580,72dd1262,6be175b0,completed
2026-05-22_13-12-46__gin__cora__seed-2__26875709,manual,gin,cora,node_classification,accuracy,2,26,0.6680000424385071,0.6930000185966492,1.3869688189588487,113418,cuda,46f3954891a4714fd29028c43b70d24bddd37580,26875709,6be175b0,completed
2026-05-22_13-12-56__gin__pubmed__seed-0__7d442493,manual,gin,pubmed,node_classification,accuracy,0,88,0.7140000462532043,0.6800000071525574,3.2569539780379273,53446,cuda,46f3954891a4714fd29028c43b70d24bddd37580,7d442493,fb0d3a75,completed
2026-05-22_13-13-09__gin__pubmed__seed-1__7702feab,manual,gin,pubmed,node_classification,accuracy,1,60,0.7220000624656677,0.687000036239624,2.6869646700215526,53446,cuda,46f3954891a4714fd29028c43b70d24bddd37580,7702feab,fb0d3a75,completed
2026-05-22_13-13-21__gin__pubmed__seed-2__5517e5e5,manual,gin,pubmed,node_classification,accuracy,2,64,0.7540000081062317,0.7250000238418579,2.6023664830136113,53446,cuda,46f3954891a4714fd29028c43b70d24bddd37580,5517e5e5,fb0d3a75,completed
2026-05-22_13-17-22__mlp__ogbg-molhiv__seed-0__62d8bd6a,manual,mlp,ogbg-molhiv,graph_binary_classification,rocauc,0,1,0.676330099941211,0.6190540566638985,56.08091150299879,5121,cuda,46f3954891a4714fd29028c43b70d24bddd37580,62d8bd6a,7748fbcc,completed
2026-05-22_13-18-27__mlp__ogbg-molhiv__seed-1__90ad1426,manual,mlp,ogbg-molhiv,graph_binary_classification,rocauc,1,4,0.6662456520674113,0.6373413932289151,67.17632153001614,5121,cuda,46f3954891a4714fd29028c43b70d24bddd37580,90ad1426,7748fbcc,completed
2026-05-22_13-19-43__mlp__ogbg-molhiv__seed-2__95e3542f,manual,mlp,ogbg-molhiv,graph_binary_classification,rocauc,2,8,0.686668687536743,0.6434963981536916,82.81695338303689,5121,cuda,46f3954891a4714fd29028c43b70d24bddd37580,95e3542f,7748fbcc,completed
2026-05-22_13-21-15__gcn__ogbg-molhiv__seed-0__15d3ba7c,manual,gcn,ogbg-molhiv,graph_binary_classification,rocauc,0,14,0.762002743484225,0.6914241294733385,127.87084471102571,5121,cuda,46f3954891a4714fd29028c43b70d24bddd37580,15d3ba7c,90b462de,completed
2026-05-22_13-23-31__gcn__ogbg-molhiv__seed-1__b0a7a18b,manual,gcn,ogbg-molhiv,graph_binary_classification,rocauc,1,19,0.7412184009406232,0.6756503601846309,115.43606230797013,5121,cuda,46f3954891a4714fd29028c43b70d24bddd37580,b0a7a18b,90b462de,completed
2026-05-22_13-25-35__gcn__ogbg-molhiv__seed-2__5eee6f69,manual,gcn,ogbg-molhiv,graph_binary_classification,rocauc,2,10,0.7595654516950814,0.6724173892890941,128.70551331999013,5121,cuda,46f3954891a4714fd29028c43b70d24bddd37580,5eee6f69,90b462de,completed
2026-05-22_13-27-53__gat__ogbg-molhiv__seed-0__68ee28ab,manual,gat,ogbg-molhiv,graph_binary_classification,rocauc,0,18,0.7340320644718793,0.6920798006914001,143.93588798301062,18945,cuda,46f3954891a4714fd29028c43b70d24bddd37580,68ee28ab,40f3045d,completed
